,0
0,2.10629940032959
1,2.072099208831787
2,2.076430320739746
3,2.033996343612671
4,2.0362234115600586
5,1.9858307838439941
6,1.942386507987976
7,1.969682216644287
8,1.9256819486618042
9,1.8008568286895752
10,1.8409101963043213
11,1.8024388551712036
12,1.818869948387146
13,1.7577111721038818
14,1.8494395017623901
15,1.7365822792053223
16,1.716680884361267
17,1.764348030090332
18,1.7478429079055786
19,1.7747511863708496
20,1.7427148818969727
21,1.7801858186721802
22,1.7319506406784058
23,1.6900112628936768
24,1.6809189319610596
25,1.7211403846740723
26,1.689018726348877
27,1.741084098815918
28,1.7363829612731934
29,1.6420286893844604
30,1.7140438556671143
31,1.6750825643539429
32,1.6858162879943848
33,1.711917519569397
34,1.7744190692901611
35,1.7130950689315796
36,1.7524813413619995
37,1.7342348098754883
38,1.762416958808899
39,1.6895947456359863
