,0
0,2.0980947017669678
1,0.012939698994159698
2,0.02130197174847126
3,0.0009606379317119718
4,2.5707220629556105e-05
5,8.478704694425687e-05
6,0.00040513763087801635
7,0.0003127991803921759
8,0.0009518629522062838
9,0.003782800165936351
10,9.620714081393089e-06
11,5.786823749076575e-05
12,4.438484211277682e-06
13,1.1396108448025188e-06
14,3.130930736006121e-06
15,4.126590738451341e-06
16,3.5747791571338894e-06
17,4.354512839199742e-06
18,8.529087608621921e-06
19,3.958647994295461e-06
20,7.917296329651435e-07
21,2.5791191546886694e-06
22,8.733017239137553e-06
23,0.00020791299175471067
24,2.2792216896050377e-06
25,8.876968422555365e-07
26,3.814697265625e-05
27,3.5987710589324706e-08
28,2.54073238465935e-05
29,0.0010815865825861692
30,6.8976446527813096e-06
31,8.157214210768871e-07
32,1.4275125295171165e-06
33,5.542107373912586e-06
34,4.4384842112776823e-07
35,2.5311355784651823e-06
36,2.4747549105086364e-05
37,8.361144864466041e-06
38,2.5191397412527294e-07
39,5.038279482505459e-07
