,0
0,2.033125400543213
1,0.0325213298201561
2,0.01966935582458973
3,0.021005043759942055
4,0.03248320519924164
5,0.02403375133872032
6,0.01828969456255436
7,0.023584192618727684
8,0.031538642942905426
9,0.0066028740257024765
10,0.004321809858083725
11,0.00968556571751833
12,0.0017675975104793906
13,0.003714239690452814
14,0.014284645207226276
15,0.012941231951117516
16,0.0030401775147765875
17,0.02266584523022175
18,0.012410057708621025
19,0.011914638802409172
20,0.014202352613210678
21,0.01511820126324892
22,0.02871786616742611
23,0.01879034750163555
24,0.001842933939769864
25,0.008604333736002445
26,0.0023271734826266766
27,0.0019599671941250563
28,0.011530936695635319
29,0.00393830006942153
30,0.00994186569005251
31,0.007593177724629641
32,0.019343266263604164
33,0.00699591264128685
34,0.02265113964676857
35,0.028120828792452812
36,0.010505850426852703
37,0.005510023795068264
38,0.010968806222081184
39,0.020429108291864395
