,0
0,2.124356985092163
1,0.2077162116765976
2,0.13681823015213013
3,0.12557366490364075
4,0.09519867599010468
5,0.11576755344867706
6,0.14222414791584015
7,0.05963604897260666
8,0.09938595443964005
9,0.08009666949510574
10,0.06995376199483871
11,0.05607077479362488
12,0.07894216477870941
13,0.05637320131063461
14,0.06686369329690933
15,0.023000724613666534
16,0.05397958680987358
17,0.05438448488712311
18,0.054258085787296295
19,0.06658284366130829
20,0.07819546014070511
21,0.049079444259405136
22,0.09296484291553497
23,0.12696781754493713
24,0.05371978133916855
25,0.03900542110204697
26,0.060432009398937225
27,0.03869396820664406
28,0.05910433456301689
29,0.069363534450531
30,0.016286222264170647
31,0.0717361718416214
32,0.03809165209531784
33,0.05452368035912514
34,0.058315712958574295
35,0.06776057928800583
36,0.0354907251894474
37,0.07111484557390213
38,0.05185385048389435
39,0.0498710572719574
