,0
0,2.1000630855560303
1,0.039985209703445435
2,0.03194855898618698
3,0.04356985166668892
4,0.04409628361463547
5,0.00641797436401248
6,0.0009301805985160172
7,0.012110638432204723
8,0.022496776655316353
9,0.006068051792681217
10,0.002252094214782119
11,0.008119999431073666
12,0.004421302117407322
13,0.0197773277759552
14,0.024419821798801422
15,0.008327658288180828
16,0.003973211627453566
17,0.01021633855998516
18,0.00270434794947505
19,0.006757122930139303
20,0.001510608708485961
21,0.004693375900387764
22,0.011630126275122166
23,0.003875679336488247
24,0.0019515317399054766
25,0.0079191904515028
26,0.03456611931324005
27,0.003421866800636053
28,0.0009757602238096297
29,0.004233133047819138
30,0.0036589493975043297
31,0.005354586057364941
32,0.007009835448116064
33,0.0006734795169904828
34,0.001379917492158711
35,0.0029331501573324203
36,0.005872310139238834
37,0.0032169288024306297
38,0.0011899432865902781
39,0.003997810184955597
