,0
0,2.125525712966919
1,0.3232698142528534
2,0.33318594098091125
3,0.4290121793746948
4,0.2881174385547638
5,0.3066651523113251
6,0.16528062522411346
7,0.2739279270172119
8,0.23721548914909363
9,0.17620091140270233
10,0.2052215188741684
11,0.20659351348876953
12,0.16848309338092804
13,0.19147709012031555
14,0.19419558346271515
15,0.11841747909784317
16,0.14913547039031982
17,0.11394310742616653
18,0.14572516083717346
19,0.11978981643915176
20,0.11337665468454361
21,0.2141796350479126
22,0.1454772800207138
23,0.11749187111854553
24,0.16543978452682495
25,0.19266457855701447
26,0.12014555186033249
27,0.1283068209886551
28,0.11233076453208923
29,0.12185470759868622
30,0.12119152396917343
31,0.14647163450717926
32,0.13151192665100098
33,0.1550765335559845
34,0.12723544239997864
35,0.2243209183216095
36,0.1884118765592575
37,0.15080305933952332
38,0.21078543365001678
39,0.14378729462623596
