,0
0,2.0724196434020996
1,0.011905325576663017
2,0.0038417179603129625
3,0.013881092891097069
4,0.0013463913928717375
5,0.0025007459335029125
6,0.00041700544534251094
7,0.010887641459703445
8,9.23171901376918e-05
9,0.0018486446933820844
10,0.002014534780755639
11,0.0002973723167087883
12,0.0002261797635583207
13,0.00018158792227040976
14,0.00032206944888457656
15,0.0003655448672361672
16,0.0002562091394793242
17,0.0007470221607945859
18,0.00012739877274725586
19,8.971350325737149e-05
20,0.00013981168740428984
21,6.6870734372059815e-06
22,0.00010827987716766074
23,8.389306458411738e-05
24,4.9046107051253784e-06
25,9.5367431640625e-07
26,5.96424888499314e-06
27,5.3799340093974024e-05
28,1.4759245914319763e-06
29,0.0001191335977637209
30,0.00013137998757883906
31,2.444736537654535e-06
32,5.578237960435217e-06
33,1.579617673996836e-05
34,3.7844217786187073e-06
35,1.747646092553623e-05
36,9.090181265491992e-06
37,2.808797944453545e-05
38,0.0010506917024031281
39,1.30032740344177e-05
