,0
0,2.109508991241455
1,0.0041950177401304245
2,0.001701307250186801
3,0.007423424627631903
4,0.00017043114348780364
5,0.006765384692698717
6,2.7503967430675402e-05
7,0.04754723981022835
8,0.0002375221229158342
9,0.00030443191644735634
10,0.0009066438651643693
11,3.909587758244015e-05
12,3.0922888981876895e-05
13,3.871917670039693e-06
14,8.48770127959142e-07
15,9.107589903578628e-06
16,4.57763690064894e-06
17,3.189563722116873e-05
18,8.678436529407918e-07
19,3.0364990379894152e-05
20,2.19345088225964e-06
21,3.814697180359872e-08
22,9.72747784544481e-07
23,1.640319851503591e-06
24,7.629394360719743e-08
25,3.814697180359872e-08
26,5.4931642807787284e-06
27,1.6498565855727065e-06
28,1.163482693300466e-06
29,0.0
