,0
0,2.033952474594116
1,0.056971605867147446
2,0.0027612352278083563
3,0.0015716591151431203
4,0.014976123347878456
5,0.004567248281091452
6,0.0011188491480425
7,0.013498387299478054
8,0.00688177440315485
9,0.001936095068231225
10,0.02270297147333622
11,0.0006557797896675766
12,0.0007453153957612813
13,0.00023696536663919687
14,0.001482490566559136
15,2.209723970736377e-05
16,0.0005244981730356812
17,0.00022514282318297774
18,0.00038497408968396485
19,6.506178033305332e-05
20,5.041606709710322e-05
21,0.00037614881875924766
22,0.00045232923002913594
23,0.0014511365443468094
24,0.00011582601291593164
25,0.0003558908065315336
26,0.001951982150785625
27,0.0010932740988209844
28,9.313462214777246e-05
29,1.7037467841873877e-05
30,1.2920016160933301e-05
31,0.0008033646736294031
32,0.00014187797205522656
33,0.0004494530730880797
34,0.002074264455586672
35,0.0005207099602557719
36,8.810134204395581e-06
37,6.986042717471719e-05
38,0.0021454039961099625
39,5.061285992269404e-05
