,0
0,2.058954954147339
1,2.0187532901763916
2,1.9691922664642334
3,1.861576795578003
4,1.889510989189148
5,1.8792568445205688
6,1.8534700870513916
7,1.789250373840332
8,1.8437875509262085
9,1.8157657384872437
10,1.781130313873291
11,1.7971335649490356
12,1.7718837261199951
13,1.7131738662719727
14,1.7003854513168335
15,1.6569348573684692
16,1.6847590208053589
17,1.6922698020935059
18,1.6902121305465698
19,1.7578128576278687
20,1.6716033220291138
21,1.7476272583007812
22,1.6472007036209106
23,1.6075434684753418
24,1.7141629457473755
25,1.6710834503173828
26,1.6238876581192017
27,1.6711933612823486
28,1.6954395771026611
29,1.6415588855743408
30,1.6180475950241089
31,1.6320863962173462
32,1.7312768697738647
33,1.6950066089630127
34,1.6930150985717773
35,1.6625399589538574
36,1.6510403156280518
37,1.6113033294677734
38,1.6878403425216675
39,1.676550030708313
