,0
0,2.165592908859253
1,0.00940859317779541
2,0.011746874079108238
3,0.017376428470015526
4,0.02155078388750553
5,0.0005391549784690142
6,0.00013899803161621094
7,0.0001186561567010358
8,0.0009681701776571572
9,0.0005502509884536266
10,0.004497094079852104
11,0.00029426574474200606
12,7.867813110351562e-06
13,1.678466787780053e-06
14,2.040863137153792e-06
15,7.4291228884248994e-06
16,2.7170181056135334e-05
17,4.997253563487902e-05
18,1.268386881747574e-06
19,5.546092870645225e-05
20,4.482269275740691e-07
21,8.01086389401462e-06
22,1.4209747405402595e-06
23,1.535415663056483e-06
24,4.673004241340095e-07
25,2.1934509675247682e-07
26,4.0054320038507285e-07
27,1.0490417707842425e-06
28,3.7193296975601697e-07
29,2.9563904035967425e-07
