0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2.1034,1.8938,1.6769,1.5022,1.3463,1.1473,1.0482,1.001,0.88275,0.75904,0.64078,0.69519,0.82005,0.90462,1.0046,0.9702,0.70658,0.53277,0.47363,0.58854,0.71414,1.0177,1.3978,1.632,1.7118,1.6981,1.7696,1.8247,1.8022,1.8494,0.52695,0.5543,0.58438,0.71005,0.88833,0.9977,1.0818,1.2208,1.2838,1.2676,1.2789,1.4101,1.5336,1.379,1.1753
3,1.5022,1.3463,1.1473,1.0482,1.001,0.88275,0.75904,0.64078,0.69519,0.82005,0.90462,1.0046,1.0159,1.0015,1.0305,0.47363,0.58854,0.71414,1.0177,1.3978,1.632,1.7118,1.6981,1.7696,1.8247,1.8022,1.8494,1.8846,1.8861,1.931,0.71005,0.88833,0.9977,1.0818,1.2208,1.2838,1.2676,1.2789,1.4101,1.5336,1.379,1.1753,1.0418,0.97328,0.93763
7,1.0482,1.001,0.88275,0.75904,0.64078,0.69519,0.82005,0.90462,1.0046,1.0159,1.0015,1.0305,0.93715,0.52714,0.086076,1.0177,1.3978,1.632,1.7118,1.6981,1.7696,1.8247,1.8022,1.8494,1.8846,1.8861,1.931,1.8559,1.4729,1.0802,1.0818,1.2208,1.2838,1.2676,1.2789,1.4101,1.5336,1.379,1.1753,1.0418,0.97328,0.93763,0.89267,0.65716,0.46641
6,0.75904,0.64078,0.69519,0.82005,0.90462,1.0046,1.0159,1.0015,1.0305,0.93715,0.52714,0.086076,0.11867,0.046784,-0.00025981,1.7118,1.6981,1.7696,1.8247,1.8022,1.8494,1.8846,1.8861,1.931,1.8559,1.4729,1.0802,1.1082,1.1404,1.162,1.2676,1.2789,1.4101,1.5336,1.379,1.1753,1.0418,0.97328,0.93763,0.89267,0.65716,0.46641,0.7492,0.93938,1.0931
2,0.82005,0.90462,1.0046,1.0159,1.0015,1.0305,0.93715,0.52714,0.086076,0.11867,0.046784,-0.00025981,0.0040883,-3.4474e-05,0.083438,1.8247,1.8022,1.8494,1.8846,1.8861,1.931,1.8559,1.4729,1.0802,1.1082,1.1404,1.162,1.1753,1.2913,1.5738,1.5336,1.379,1.1753,1.0418,0.97328,0.93763,0.89267,0.65716,0.46641,0.7492,0.93938,1.0931,1.1952,1.3123,1.5
1,1.0159,1.0015,1.0305,0.93715,0.52714,0.086076,0.11867,0.046784,-0.00025981,0.0040883,-3.4474e-05,0.083438,0.27755,0.32166,0.31661,1.8846,1.8861,1.931,1.8559,1.4729,1.0802,1.1082,1.1404,1.162,1.1753,1.2913,1.5738,1.7723,1.771,1.7428,1.0418,0.97328,0.93763,0.89267,0.65716,0.46641,0.7492,0.93938,1.0931,1.1952,1.3123,1.5,1.7387,1.9191,1.9466
2,0.93715,0.52714,0.086076,0.11867,0.046784,-0.00025981,0.0040883,-3.4474e-05,0.083438,0.27755,0.32166,0.31661,0.21051,0.090067,0.042167,1.8559,1.4729,1.0802,1.1082,1.1404,1.162,1.1753,1.2913,1.5738,1.7723,1.771,1.7428,1.7136,1.6455,1.6585,0.89267,0.65716,0.46641,0.7492,0.93938,1.0931,1.1952,1.3123,1.5,1.7387,1.9191,1.9466,1.9141,1.8828,2.0285
7,0.11867,0.046784,-0.00025981,0.0040883,-3.4474e-05,0.083438,0.27755,0.32166,0.31661,0.21051,0.090067,0.042167,0.027125,0.00023439,0.0015649,1.1082,1.1404,1.162,1.1753,1.2913,1.5738,1.7723,1.771,1.7428,1.7136,1.6455,1.6585,1.6625,1.5468,1.3546,0.7492,0.93938,1.0931,1.1952,1.3123,1.5,1.7387,1.9191,1.9466,1.9141,1.8828,2.0285,2.1776,2.1882,2.1002
3,0.0040883,-3.4474e-05,0.083438,0.27755,0.32166,0.31661,0.21051,0.090067,0.042167,0.027125,0.00023439,0.0015649,-0.00031941,0.044808,0.26243,1.1753,1.2913,1.5738,1.7723,1.771,1.7428,1.7136,1.6455,1.6585,1.6625,1.5468,1.3546,1.1907,1.0299,1.0266,1.1952,1.3123,1.5,1.7387,1.9191,1.9466,1.9141,1.8828,2.0285,2.1776,2.1882,2.1002,1.9879,1.7502,1.5401
3,0.27755,0.32166,0.31661,0.21051,0.090067,0.042167,0.027125,0.00023439,0.0015649,-0.00031941,0.044808,0.26243,0.54122,0.91084,1.3259,1.7723,1.771,1.7428,1.7136,1.6455,1.6585,1.6625,1.5468,1.3546,1.1907,1.0299,1.0266,1.0732,1.255,1.5282,1.7387,1.9191,1.9466,1.9141,1.8828,2.0285,2.1776,2.1882,2.1002,1.9879,1.7502,1.5401,1.3328,1.2985,1.3071
1,0.21051,0.090067,0.042167,0.027125,0.00023439,0.0015649,-0.00031941,0.044808,0.26243,0.54122,0.91084,1.3259,1.5335,1.598,1.5721,1.7136,1.6455,1.6585,1.6625,1.5468,1.3546,1.1907,1.0299,1.0266,1.0732,1.255,1.5282,1.7224,1.8064,1.7622,1.9141,1.8828,2.0285,2.1776,2.1882,2.1002,1.9879,1.7502,1.5401,1.3328,1.2985,1.3071,1.3121,1.3008,1.2265
6,0.027125,0.00023439,0.0015649,-0.00031941,0.044808,0.26243,0.54122,0.91084,1.3259,1.5335,1.598,1.5721,1.5892,1.4558,1.0613,1.6625,1.5468,1.3546,1.1907,1.0299,1.0266,1.0732,1.255,1.5282,1.7224,1.8064,1.7622,1.7783,1.5924,1.1484,2.1776,2.1882,2.1002,1.9879,1.7502,1.5401,1.3328,1.2985,1.3071,1.3121,1.3008,1.2265,1.2195,1.0521,0.62173
7,-0.00031941,0.044808,0.26243,0.54122,0.91084,1.3259,1.5335,1.598,1.5721,1.5892,1.4558,1.0613,1.0103,0.55842,0.095457,1.1907,1.0299,1.0266,1.0732,1.255,1.5282,1.7224,1.8064,1.7622,1.7783,1.5924,1.1484,1.0515,0.59854,0.10863,1.9879,1.7502,1.5401,1.3328,1.2985,1.3071,1.3121,1.3008,1.2265,1.2195,1.0521,0.62173,0.59571,0.19845,-0.0028161
6,0.54122,0.91084,1.3259,1.5335,1.598,1.5721,1.5892,1.4558,1.0613,1.0103,0.55842,0.095457,0.16777,0.47402,0.93685,1.0732,1.255,1.5282,1.7224,1.8064,1.7622,1.7783,1.5924,1.1484,1.0515,0.59854,0.10863,0.1734,0.49248,0.98116,1.3328,1.2985,1.3071,1.3121,1.3008,1.2265,1.2195,1.0521,0.62173,0.59571,0.19845,-0.0028161,0.0091901,0.45495,1.0782
